# target name        accession  query name                          accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#------------------- ----------                -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
seq2                 -          TALE_N-terminus_CDS_aligned_curated -                1     864   28926   28063   28926   28063   53926    -           0 1067.0  53.1  -
seq1                 -          TALE_N-terminus_CDS_aligned_curated -                1     864   29437   30297   29437   30297   61971    +           0 1066.1  49.0  -
seq1                 -          TALE_N-terminus_CDS_aligned_curated -                1     864   32652   33512   32652   33512   61971    +           0 1063.2  50.7  -
seq1                 -          TALE_N-terminus_CDS_aligned_curated -                1     864   25001   25861   25001   25861   61971    +           0 1062.6  48.2  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   26777   26878   26777   26878   61971    +     7.1e-33  109.8  10.1  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   31318   31419   31318   31419   61971    +     7.1e-33  109.8  10.1  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   33819   33920   33819   33920   61971    +     7.1e-33  109.8  10.1  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   28307   28408   28307   28408   61971    +     1.4e-32  108.9  11.2  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   33717   33818   33717   33818   61971    +     1.4e-32  108.9  11.2  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   30604   30705   30604   30705   61971    +     3.4e-32  107.7  11.6  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   34227   34328   34227   34328   61971    +     3.4e-32  107.7  11.6  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   33921   34022   33921   34022   61971    +     4.8e-32  107.2  10.9  -
seq2                 -          TALE_repeat_CDS_aligned_curated -                1     102   26532   26431   26532   26431   53926    -     5.6e-32  107.0  11.4  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   25862   25963   25862   25963   61971    +     6.2e-32  106.8  11.2  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   26879   26980   26879   26980   61971    +     6.6e-32  106.7  13.7  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   31216   31317   31216   31317   61971    +     6.6e-32  106.7  13.7  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   31420   31521   31420   31521   61971    +     6.6e-32  106.7  13.7  -
seq2                 -          TALE_repeat_CDS_aligned_curated -                1     102   27552   27451   27552   27451   53926    -     6.6e-32  106.7  13.7  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     101   27899   27999   27899   28000   61971    +     6.7e-32  106.7  10.9  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     101   34935   35035   34935   35036   61971    +     6.7e-32  106.7  10.9  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     101   35241   35341   35241   35342   61971    +     7.2e-32  106.6  13.1  -
seq2                 -          TALE_repeat_CDS_aligned_curated -                1     102   28062   27961   28062   27961   53926    -     8.9e-32  106.3   9.0  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     101   26168   26268   26168   26269   61971    +     9.5e-32  106.2  13.4  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     101   26675   26775   26675   26776   61971    +     9.5e-32  106.2  13.4  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     101   30706   30806   30706   30807   61971    +     9.5e-32  106.2  13.4  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     101   31012   31112   31012   31113   61971    +     9.5e-32  106.2  13.4  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     101   34833   34933   34833   34934   61971    +     9.5e-32  106.2  13.4  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     101   35853   35953   35853   35954   61971    +       1e-31  106.1  12.7  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   26066   26167   26066   26167   61971    +       1e-31  106.1  12.4  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   27593   27694   27593   27694   61971    +       1e-31  106.1  12.4  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   35037   35138   35037   35138   61971    +       1e-31  106.1  12.4  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   35751   35852   35751   35852   61971    +       1e-31  106.1  12.4  -
seq2                 -          TALE_repeat_CDS_aligned_curated -                1     102   27654   27553   27654   27553   53926    -     1.1e-31  106.0  10.5  -
seq2                 -          TALE_repeat_CDS_aligned_curated -                1     102   27144   27043   27144   27043   53926    -     1.4e-31  105.7  12.7  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   26372   26473   26372   26473   61971    +     1.6e-31  105.5  11.3  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   30502   30603   30502   30603   61971    +     1.6e-31  105.5  10.1  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   31522   31623   31522   31623   61971    +     1.6e-31  105.5  10.1  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   27695   27796   27695   27796   61971    +     1.7e-31  105.4  14.1  -
seq1                 -          TALE_repeat_CDS_aligned_curated -                1     102   34329   34430   34329   34430   61971    +     1.7e-31  105.4  14.1  -
